x (1000/x),y,group
951.9038076152304,129.6590909090909,Phi = 0.5 P = 37
916.9884169884169,262.10227272727275,Phi = 0.5 P = 37
852.7827648114901,303.72727272727275,Phi = 0.5 P = 37
892.8571428571428,375.625,Phi = 0.5 P = 37
869.9633699633699,421.03409090909093,Phi = 0.5 P = 37
869.9633699633699,523.2045454545455,Phi = 0.5 P = 37
845.1957295373664,568.6136363636364,Phi = 0.5 P = 37
811.9658119658119,561.0454545454545,Phi = 0.5 P = 37
779.9671592775042,564.8295454545455,Phi = 0.5 P = 37
751.5822784810127,595.1022727272727,Phi = 0.5 P = 37
725.1908396946565,667.0,Phi = 0.5 P = 37
714.2857142857143,807.0113636363636,Phi = 0.5 P = 37
831.8815331010452,399.0689655172414,phi = 2.0 P = 30
799.8324958123953,445.0,phi = 2.0 P = 30
782.7868852459017,425.8620689655172,phi = 2.0 P = 30
762.7795527156549,460.31034482758616,phi = 2.0 P = 30
748.4326018808777,425.8620689655172,phi = 2.0 P = 30
740.3100775193799,506.2413793103448,phi = 2.0 P = 30
714.820359281437,487.10344827586204,phi = 2.0 P = 30
714.820359281437,636.3793103448276,phi = 2.0 P = 30
724.5827010622155,670.8275862068965,phi = 2.0 P = 30
703.240058910162,697.6206896551724,phi = 2.0 P = 30
700.1466275659824,793.3103448275862,phi = 2.0 P = 30
699.121522693997,843.0689655172414,phi = 2.0 P = 30
964.0688259109311,77.55172413793103,phi = 1.0 P = 30
926.556420233463,261.2758620689655,phi = 1.0 P = 30
883.5807050092764,402.8965517241379,phi = 1.0 P = 30
861.2115732368896,510.06896551724134,phi = 1.0 P = 30
825.3899480069324,575.1379310344828,phi = 1.0 P = 30
799.0771812080537,529.2068965517241,phi = 1.0 P = 30
763.2211538461538,513.8965517241379,phi = 1.0 P = 30
734.9537037037037,590.448275862069,phi = 1.0 P = 30
757.1542130365659,628.7241379310344,phi = 1.0 P = 30
708.7053571428571,743.551724137931,phi = 1.0 P = 30
950.5988023952095,226.82758620689654,phi = 0.5 P = 27
914.1074856046065,379.9310344827586,phi = 0.5 P = 27
893.5272045028142,517.7241379310344,phi = 0.5 P = 27
869.0693430656935,632.551724137931,phi = 0.5 P = 27
853.4946236559139,709.1034482758621,phi = 0.5 P = 27
825.3899480069324,674.655172413793,phi = 0.5 P = 27
805.8375634517766,586.6206896551724,phi = 0.5 P = 27
793.75,712.9310344827586,phi = 0.5 P = 27
776.9168026101141,670.8275862068965,phi = 0.5 P = 27
753.5601265822785,674.655172413793,phi = 0.5 P = 27
736.0896445131376,712.9310344827586,phi = 0.5 P = 27
712.9491017964071,774.1724137931034,phi = 0.5 P = 27
715.09009009009,881.3448275862069,phi = 0.5 P = 27
950.5988023952095,276.988326848249,phi = 0.5 P = 21
922.9651162790698,444.136186770428,phi = 0.5 P = 21
893.5272045028142,568.5252918287938,phi = 0.5 P = 21
885.2230483271375,657.9299610894941,phi = 0.5 P = 21
878.6900369003689,712.3501945525292,phi = 0.5 P = 21
851.9677996422183,727.8988326848249,phi = 0.5 P = 21
875.4595588235294,786.2062256809338,phi = 0.5 P = 21
847.4199288256227,813.4163424124514,phi = 0.5 P = 21
3956.6115702479337,281.48846153846154,phi = 0.5 P = 30
3520.2205882352932,446.7076923076923,phi = 0.5 P = 30
3129.084967320261,569.6615384615385,phi = 0.5 P = 30
3030.06329113924,658.0346153846154,phi = 0.5 P = 30
2955.2469135802467,711.8269230769231,phi = 0.5 P = 30
2674.581005586592,727.1961538461538,phi = 0.5 P = 30
2919.20731707317,784.8307692307693,phi = 0.5 P = 30
2630.494505494505,811.7269230769231,phi = 0.5 P = 30
953.6852589641434,220.01153846153846,phi = 0.5 P = 30
931.4202334630351,220.01153846153846,phi = 0.5 P = 30
893.1902985074628,527.3961538461539,phi = 0.5 P = 30
867.300724637681,631.1384615384616,phi = 0.5 P = 30
854.9107142857142,719.5115384615385,phi = 0.5 P = 30
825.4310344827586,684.9307692307692,phi = 0.5 P = 30
807.335581787521,588.873076923077,phi = 0.5 P = 30
800.5852842809364,665.7192307692308,phi = 0.5 P = 30
783.5515548281505,688.7730769230769,phi = 0.5 P = 30
800.5852842809364,723.3538461538461,phi = 0.5 P = 30
752.751572327044,669.5615384615385,phi = 0.5 P = 30
736.5384615384614,723.3538461538461,phi = 0.5 P = 30
712.4255952380952,769.4615384615385,phi = 0.5 P = 30
